Renewable,LC,Main,LS,Bmode
25,7,1.000000,5,-1
26,0,1.000000,0,1
26,1,1.800000,1,1
26,2,2.000000,2,0
26,3,1.800000,3,-1
26,4,1.200000,4,0
26,5,2.000000,5,0
26,6,0.200000,4,-1
26,7,1.000000,5,-1
27,0,1.000000,0,1
27,1,1.800000,1,1
27,2,2.000000,2,0
27,3,1.800000,3,-1
27,4,1.200000,4,0
27,5,2.000000,5,0
27,6,0.200000,4,-1
27,7,1.000000,5,-1
28,0,1.000000,0,1
28,1,1.800000,1,1
28,2,2.000000,2,0
28,3,1.800000,3,-1
28,4,1.200000,4,0
28,5,2.000000,5,0
28,6,0.200000,4,-1
28,7,1.000000,5,-1
29,0,1.000000,0,1
29,1,1.800000,1,1
29,2,2.000000,2,0
29,3,1.800000,3,-1
29,4,1.200000,4,0
29,5,2.000000,5,0
29,6,0.200000,4,-1
29,7,1.000000,5,-1
30,0,1.000000,0,1
30,1,1.800000,1,1
30,2,2.000000,2,0
30,3,1.800000,3,-1
30,4,1.200000,4,0
30,5,2.000000,5,0
30,6,0.200000,4,-1
30,7,1.000000,5,-1
31,0,1.000000,0,1
31,1,1.800000,1,1
31,2,2.000000,2,0
31,3,1.800000,3,-1
31,4,1.200000,4,0
31,5,2.000000,5,0
31,6,0.200000,4,-1
31,7,1.000000,5,-1
32,0,1.000000,0,1
32,1,1.800000,1,1
32,2,2.000000,2,0
32,3,1.800000,3,-1
32,4,1.200000,4,0
32,5,2.000000,5,0
32,6,0.200000,4,-1
32,7,1.000000,5,-1
33,0,1.000000,0,1
33,1,1.800000,1,1
33,2,2.000000,2,0
33,3,1.800000,3,-1
33,4,1.200000,4,0
33,5,2.000000,5,0
33,6,0.200000,4,-1
33,7,1.000000,5,-1
34,0,1.000000,0,1
34,1,1.800000,1,1
34,2,2.000000,2,0
34,3,1.800000,3,-1
34,4,1.200000,4,0
34,5,2.000000,5,0
34,6,0.200000,4,-1
34,7,1.000000,5,-1
35,0,1.000000,0,1
35,1,1.800000,1,1
35,2,2.000000,2,0
35,3,1.800000,3,-1
35,4,1.200000,4,0
35,5,2.000000,5,0
35,6,0.200000,4,-1
35,7,1.000000,5,-1
36,0,1.000000,0,1
36,1,1.800000,1,1
36,2,2.000000,2,0
36,3,1.800000,3,-1
36,4,1.200000,4,0
36,5,2.000000,5,0
36,6,0.200000,4,-1
36,7,1.000000,5,-1
37,0,1.000000,0,1
37,1,1.800000,1,1
37,2,2.000000,2,0
37,3,1.800000,3,-1
37,4,1.200000,4,0
37,5,2.000000,5,0
37,6,0.200000,4,-1
37,7,1.000000,5,-1
38,0,1.000000,0,1
38,1,1.800000,1,1
38,2,2.000000,2,0
38,3,1.800000,3,-1
38,4,1.200000,4,0
38,5,2.000000,5,0
38,6,0.200000,4,-1
38,7,1.000000,5,-1
39,0,1.000000,0,1
39,1,1.800000,1,1
39,2,2.000000,2,0
39,3,1.800000,3,-1
39,4,1.200000,4,0
39,5,2.000000,5,0
39,6,0.200000,4,-1
39,7,1.000000,5,-1
40,0,1.000000,0,1
40,1,1.800000,1,1
40,2,2.000000,2,0
40,3,1.800000,3,-1
40,4,1.200000,4,0
40,5,2.000000,5,0
